NOV_ISSUED_DATE,NOV_NUMBER,"Street Address",City,State,VIOLATION_DESCRIPTION,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
1/1/2019,P005332121,"1500 N MILWAUKEE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.908829,-87.674813,1,range_interpolation,1500,"N Milwaukee Ave",,,Chicago,IL,"Cook County",60622,US,"TIGER/Line® dataset from the US Census Bureau"
1/1/2019,P005480464,"7900 S PAULINA ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.750174,-87.665863,1,range_interpolation,7900,"S Paulina St",,,Chicago,IL,"Cook County",60620,US,"TIGER/Line® dataset from the US Census Bureau"
1/1/2019,P005528205,"3000 W MADISON ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.88131,-87.701592,1,rooftop,3000,"W Madison St",,,Chicago,IL,"Cook County",60612,US,"City of Chicago"
1/1/2019,P005564244,"2200 S ARCHER ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.852658,-87.635826,1,rooftop,2200,"S Archer Ave",,,Chicago,IL,"Cook County",60616,US,"City of Chicago"
1/1/2019,P005641317,"2200 S HOYNE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.851986,-87.678292,1,range_interpolation,2200,"S Hoyne Ave",,,Chicago,IL,"Cook County",60608,US,"TIGER/Line® dataset from the US Census Bureau"
1/1/2019,P005720771,"800 W WEBSTER ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.921666,-87.648632,1,range_interpolation,800,"W Webster Ave",,,Chicago,IL,"Cook County",60614,US,"TIGER/Line® dataset from the US Census Bureau"
1/1/2019,P005618512,"10 E JACKSON ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.878455,-87.627165,1,rooftop,10,"E Jackson Blvd",,,Chicago,IL,"Cook County",60604,US,"City of Chicago"
1/1/2019,P005619550,"6300 S MAPLEWOOD ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.779054,-87.687304,1,range_interpolation,6300,"S Maplewood Ave",,,Chicago,IL,"Cook County",60629,US,"TIGER/Line® dataset from the US Census Bureau"
1/1/2019,P005908915,"900 W NEWPORT ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.944751,-87.652015,1,rooftop,900,"W Newport Ave",,,Chicago,IL,"Cook County",60657,US,"City of Chicago"
1/2/2019,P005177109,"4400 N BROADWAY ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.962555,-87.656447,1,rooftop,4400,"N Broadway St",,,Chicago,IL,"Cook County",60640,US,"City of Chicago"
1/2/2019,P005485573,"10600 S HALSTED ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.701307,-87.642663,1,range_interpolation,10600,"S Halsted St",,,Chicago,IL,"Cook County",60628,US,"TIGER/Line® dataset from the US Census Bureau"
1/2/2019,P005568576,"10 E ROOSEVELT RD ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.867624,-87.627264,1,range_interpolation,10,"E Roosevelt Rd",,,Chicago,IL,"Cook County",60605,US,"TIGER/Line® dataset from the US Census Bureau"
1/2/2019,P005633745,"10 E 103RD ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.707405,-87.623109,1,rooftop,10,"E 103rd St",,,Chicago,IL,"Cook County",60628,US,"City of Chicago"
1/2/2019,P005570771,"200 E 35TH ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.831201,-87.62142,1,rooftop,200,"E 35th St",,,Chicago,IL,"Cook County",60616,US,"City of Chicago"
1/2/2019,P005787831,"6100 S KEDZIE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.782456,-87.703245,1,range_interpolation,6100,"S Kedzie Ave",,,Chicago,IL,"Cook County",60629,US,"TIGER/Line® dataset from the US Census Bureau"
1/2/2019,P005724327,"11300 S MICHIGAN ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.688818,-87.621345,1,rooftop,11300,"S Michigan Ave",,,Chicago,IL,"Cook County",60628,US,"City of Chicago"
1/2/2019,P005604286,"100 W 79TH ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.751174,-87.627263,1,rooftop,100,"W 79th St",,,Chicago,IL,"Cook County",60620,US,Cook
1/2/2019,P005912297,"100 E LOWER WACKER ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.888449,-87.625256,1,range_interpolation,100,"E Lower Wacker Dr",,,Chicago,IL,"Cook County",60606,US,"TIGER/Line® dataset from the US Census Bureau"
1/3/2019,P005498595,"9800 W MADISON ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.881387,-87.683341,0.4,street_center,,"Madison St",,,Chicago,IL,"Cook County",60612,US,"TIGER/Line® dataset from the US Census Bureau"
1/3/2019,P005485083,"10300 S WESTERN ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.706126,-87.682034,1,rooftop,10300,"S Western Ave",,,Chicago,IL,"Cook County",60655,US,"City of Chicago"
1/3/2019,P005679897,"100 W DIVISION ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.90375,-87.631444,1,range_interpolation,100,"W Division St",,,Chicago,IL,"Cook County",60610,US,"TIGER/Line® dataset from the US Census Bureau"
1/3/2019,P005787757,"2300 W 68TH ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.770024,-87.680856,1,range_interpolation,2300,"W 68th St",,,Chicago,IL,"Cook County",60636,US,"TIGER/Line® dataset from the US Census Bureau"
1/4/2019,P005489783,"3500 N SHEFFIELD ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.945478,-87.654522,1,rooftop,3500,"N Sheffield Ave",,,Chicago,IL,"Cook County",60657,US,Cook
1/4/2019,P005564245,"3000 S MORGAN ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.4769,-87.644109,0.7,rooftop,3000,"Morgan St",,,Steger,IL,"Cook County",60475,US,Cook
1/4/2019,P005633760,"6300 S ASHLAND ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.779179,-87.664623,1,rooftop,6300,"S Ashland Ave",,,Chicago,IL,"Cook County",60636,US,"City of Chicago"
1/4/2019,P005633873,"100  UNKNOWN ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.88531,-87.62213,0.33,place,,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
1/4/2019,P005551065,"3400 W OGDEN ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.856513,-87.710578,1,rooftop,3400,"W Ogden Ave",,,Chicago,IL,"Cook County",60623,US,"City of Chicago"
1/4/2019,P005473570,"3900 W CHICAGO ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.895679,-87.723815,1,rooftop,3900,"W Chicago Ave",,,Chicago,IL,"Cook County",60651,US,"City of Chicago"
1/4/2019,P005690548,"6000 S KEDZIE ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.784309,-87.703646,1,rooftop,6000,"S Kedzie Ave",,,Chicago,IL,"Cook County",60629,US,"City of Chicago"
1/4/2019,P005671375,"1900 S CENTRAL PARK ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.854346,-87.71508,0.7,range_interpolation,1900,"S Central Park Ave",,,Chicago,IL,"Cook County",60623,US,"TIGER/Line® dataset from the US Census Bureau"
1/4/2019,P005670820,"10 E ROOSEVELT RD ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.867624,-87.627264,1,range_interpolation,10,"E Roosevelt Rd",,,Chicago,IL,"Cook County",60605,US,"TIGER/Line® dataset from the US Census Bureau"
1/4/2019,P005642208,"2200 S WHIPPLE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.851668,-87.70158,1,range_interpolation,2200,"S Whipple St",,,Chicago,IL,"Cook County",60623,US,"TIGER/Line® dataset from the US Census Bureau"
1/4/2019,P005671411,"10 W O HARE CTA PL ",CHICAGO,Illinois,"10-8-526/016-110-1.17  Urinating, Defecating or Causing the ",41.88531,-87.62213,0.33,place,,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
1/4/2019,P005703342,"600 N CLARK ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.89309,-87.631507,1,rooftop,600,"N Clark St",,,Chicago,IL,"Cook County",60610,US,"City of Chicago"
