NOV_ISSUED_DATE,NOV_NUMBER,"Street Address",City,State,VIOLATION_DESCRIPTION,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
6/7/2019,P005644219,"1200 S INDEPENDENCE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.866089,-87.720123,1,range_interpolation,1200,"S Independence Blvd",,,Chicago,IL,"Cook County",60623,US,"TIGER/Line® dataset from the US Census Bureau"
6/7/2019,P005643056,"1600 S HOMAN ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.858907,-87.710683,1,rooftop,1600,"S Homan Ave",,,Chicago,IL,"Cook County",60623,US,"City of Chicago"
6/7/2019,P005670790,"300 N CENTRAL ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.885945,-87.765466,1,rooftop,300,"N Central Ave",,,Chicago,IL,"Cook County",60644,US,"City of Chicago"
6/7/2019,P005789176,"900 W ADDISON ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.947135,-87.651902,1,range_interpolation,900,"W Addison St",,,Chicago,IL,"Cook County",60613,US,"TIGER/Line® dataset from the US Census Bureau"
6/7/2019,P005785087,"2100 W NORTH AVE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.910696,-87.680141,1,rooftop,2100,"W North Ave",,,Chicago,IL,"Cook County",60622,US,"City of Chicago"
6/7/2019,P005806119,"6200 S CLAREMONT ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.780918,-87.682745,1,rooftop,6200,"S Claremont Ave",,,Chicago,IL,"Cook County",60629,US,"City of Chicago"
6/7/2019,P005751395,"7900 S LAFAYETTE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.750775,-87.625823,1,range_interpolation,7900,"S Lafayette Ave",,,Chicago,IL,"Cook County",60620,US,"TIGER/Line® dataset from the US Census Bureau"
6/7/2019,P005770550,"7400 S STEWART ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.759673,-87.634894,1,rooftop,7400,"S Stewart Ave",,,Chicago,IL,"Cook County",60621,US,"City of Chicago"
6/7/2019,P005770581,"7400 S HALSTED ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.759575,-87.644647,1,rooftop,7400,"S Halsted St",,,Chicago,IL,"Cook County",60621,US,"City of Chicago"
6/7/2019,P005752243,"2000 S LEAVITT ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.854735,-87.681171,1,rooftop,2000,"S Leavitt St",,,Chicago,IL,"Cook County",60608,US,"City of Chicago"
